,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(15),Exit_calculate…(15),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(800),Exit_calculate…(800),Entry_calculate…(14),Exit_calculate…(14),Entry_calculate…(60),Exit_calculate…(60)
44,1,22623,22628,66440.01,65256.83,,,-1314.876839999993,131.69684,-0.019790437117634303,2024-07-31 15:00:00,2024-07-31 20:00:00,0 days 05:00:00,,66270.17161584564,66016.26628013665,66245.23805992423,66233.23448491399,64517.72356937189,64534.68633672617,398.3192857142858,537.0392857142875,65302.67,64543.57
45,1,23138,23178,60970.0,62999.88,,,1905.9101199999973,123.96987999999999,0.03125980186977202,2024-08-22 02:00:00,2024-08-23 18:00:00,1 days 16:00:00,,60527.12227653247,61562.11978257759,59660.09311264327,59964.89646638791,60837.258564908785,60847.66024150112,694.6535714285716,584.8528571428584,58380.0,58850.0
46,1,23770,23776,58966.47,61135.49,,,2048.918039999997,120.10195999999999,0.034747171400967294,2024-09-17 10:00:00,2024-09-17 16:00:00,0 days 06:00:00,,58518.48065331974,59403.049528321884,58172.00513002397,58242.07712712458,58844.55835035498,58861.070912827665,352.46928571428464,484.2671428571422,57493.3,57493.3
47,1,24359,24396,62450.27,62561.34,,,-13.941610000000281,125.01160999999999,-0.0002232433903007927,2024-10-11 23:00:00,2024-10-13 12:00:00,1 days 13:00:00,,62204.30075154842,62814.305307086426,62119.470361267144,62288.76159354203,61751.11649868432,61852.04034034822,411.19857142857137,197.81785714285692,58946.0,60087.64
48,1,24953,24963,70191.98,73077.05,,,2741.800970000007,143.26903,0.03906145645129261,2024-11-05 17:00:00,2024-11-06 03:00:00,0 days 10:00:00,,69159.34943664509,70677.93459577892,68923.59636064294,69036.32671766102,66965.63484202884,67056.72111399575,503.85714285714283,1146.461428571428,66835.0,66835.0
49,1,25474,25659,93403.49,101248.19,,,7650.048319999997,194.65168,0.08190323851924597,2024-11-27 10:00:00,2024-12-05 03:00:00,7 days 17:00:00,,93025.6422535573,98420.68056743807,92903.41019028948,95356.655275545,84427.28714692108,88829.11924822256,632.5714285714296,1362.0157142857154,90791.1,93578.17
50,1,25812,25821,98292.61,101271.57,,,2779.3958200000066,199.56418000000002,0.02827675264702003,2024-12-11 12:00:00,2024-12-11 21:00:00,0 days 09:00:00,,97584.47053333366,99706.06508144263,97453.11660450869,97623.39489162077,92011.95392834919,92197.8849801407,669.7878571428561,811.8471428571419,94150.05,94150.05
51,1,26157,26168,99144.62,97719.99,,,-1621.4946099999902,196.86461000000003,-0.016354842148772118,2024-12-25 21:00:00,2024-12-26 08:00:00,0 days 11:00:00,,98499.64003956543,98166.55827749881,98487.42438402021,98480.5496840441,96356.017172635,96411.46451978586,656.1742857142838,785.2492857142851,92520.0,93181.83
52,1,26630,26654,96336.0,98963.99,,,2432.6900100000053,195.29999,0.025252138452914796,2025-01-14 14:00:00,2025-01-15 14:00:00,1 days 00:00:00,,95542.5749641074,97420.65691200401,95412.90876805045,95653.36942515285,95823.45256160642,95893.38057548307,731.3114285714307,682.7592857142839,89256.69,89256.69
53,1,26996,27015,103584.0,105920.57,,,2127.065430000007,209.50457,0.02053469097544034,2025-01-29 20:00:00,2025-01-30 15:00:00,0 days 19:00:00,,102665.05034322309,105000.1466737811,102427.19082185709,102721.81181822684,100150.61042154442,100370.5208807674,830.616428571431,639.9742857142846,98263.49,100272.68
54,1,27523,27544,98295.09,98104.04,,,-387.4491300000029,196.39913,-0.003941693628847571,2025-02-20 19:00:00,2025-02-21 16:00:00,0 days 21:00:00,,97470.58910959522,98418.44425703585,96974.88271012834,97159.5820373315,98129.2766865299,98142.35865870067,442.6485714285726,584.5978571428558,93388.09,95029.99
55,1,27545,27548,98215.81,95285.11,,,-3124.200919999997,193.50092,-0.03180955204666134,2025-02-21 17:00:00,2025-02-21 20:00:00,0 days 03:00:00,,98237.62622490637,97356.14147488844,97158.33498060502,97128.03906625746,98139.43616517083,98120.68874464768,683.5592857142848,867.5021428571417,95249.65,94871.95
56,1,28306,28376,87221.65,85212.98,,,-2181.1046299999985,172.43463,-0.02500645917613346,2025-03-25 10:00:00,2025-03-28 08:00:00,2 days 22:00:00,,87031.43351001713,86397.75902455827,84939.47719364201,85770.35645961232,87163.61674979267,87169.3935676565,495.94142857142805,458.27571428571747,83625.1,85050.01
57,1,28742,28809,84458.24,85850.0,,,1221.4517599999947,170.30824,0.014462197649394368,2025-04-12 14:00:00,2025-04-15 09:00:00,2 days 19:00:00,,83688.80348089254,85334.03485295307,81852.08996413535,82907.61155208445,83961.58482337453,84086.58958013913,484.4664285714285,429.2907142857148,78464.36,83034.23
58,1,28839,28929,84605.3,84647.3,,,-127.2526,169.2526,-0.0015040736218652879,2025-04-16 15:00:00,2025-04-20 09:00:00,3 days 18:00:00,,84045.75271744482,84980.90076675828,83140.32711221912,83889.07807123192,84095.32996343634,84231.7994173255,557.2121428571409,185.21928571428413,83111.64,84303.96
59,1,30092,30131,105725.91,107179.7,,,1240.8843899999936,212.90561,0.01173680500834645,2025-06-07 20:00:00,2025-06-09 11:00:00,1 days 15:00:00,,105344.59986245187,106213.05071310875,105264.92581706197,105394.87320612109,103312.39976878357,103545.41668017246,332.8607142857176,456.4292857142843,100372.26,103871.09
60,1,30298,30308,106945.86,108652.01,,,1490.5521299999941,215.59787,0.01393744582539241,2025-06-16 10:00:00,2025-06-16 20:00:00,0 days 10:00:00,,106311.53410073093,107509.3303214268,106165.05528401326,106264.23630107209,104662.22297174933,104737.1056429005,449.20142857143117,515.6907142857132,104300.0,104300.0
61,1,30487,30612,105655.23,108477.12,,,2607.7576499999996,214.13235,0.024681765871883574,2025-06-24 07:00:00,2025-06-29 12:00:00,5 days 05:00:00,,104425.62998796452,107710.08263879428,104325.21809659064,105908.30289952306,104368.88815999204,105093.12018337699,754.826428571427,221.9614285714259,98200.0,106356.76
62,1,30680,30689,107080.0,109413.01,,,2116.5169899999946,216.49301,0.01976575448262984,2025-07-02 08:00:00,2025-07-02 17:00:00,0 days 09:00:00,,106502.17879660927,107818.79863719182,106311.39469059496,106420.25873706992,105401.80312207153,105463.48737700886,429.52642857142826,508.0471428571431,105100.19,105100.19
63,1,31258,31295,117570.6,119495.16,,,1687.4942399999977,237.06576,0.01435302907359491,2025-07-26 10:00:00,2025-07-27 23:00:00,1 days 13:00:00,,117342.80185543047,118846.32338703706,117227.82500407856,117475.78682841024,113718.94694537144,114127.71459257169,297.91928571428224,399.9500000000002,114723.16,114908.0
64,1,31370,31390,118055.32,116536.96,,,-1752.9522800000007,234.59228000000002,-0.014848566587257517,2025-07-31 02:00:00,2025-07-31 22:00:00,0 days 20:00:00,,117835.19487207876,117461.29617588724,117741.53106881502,117770.22461902563,114821.39929297482,114975.82297205062,668.6164285714289,572.9471428571445,115796.23,115796.23
65,1,31551,31604,116363.16,116535.68,,,-60.378840000010484,232.89884,-0.0005188827804263664,2025-08-07 15:00:00,2025-08-09 20:00:00,2 days 05:00:00,,115733.63455211528,116796.61202730058,115568.88785822704,115930.01248567506,114774.83435622732,115024.01936529516,462.94142857142805,333.5214285714309,112650.0,114844.78
66,1,31790,31794,118429.99,117900.01,,,-766.3100000000104,236.32999999999998,-0.0064705738808219495,2025-08-17 14:00:00,2025-08-17 18:00:00,0 days 04:00:00,,118075.08988813675,117980.6104349161,118048.85361950374,118044.38342638021,116518.16345867609,116531.7143920746,291.0400000000019,314.4707142857161,116803.99,116803.99
67,1,32245,32247,113214.78,110569.99,,,-2868.574769999994,223.78477,-0.02533745832478758,2025-09-05 13:00:00,2025-09-05 15:00:00,0 days 02:00:00,,112067.14182551553,111734.60061641032,111296.62776908478,111287.9791486181,113148.69521167458,113136.20047582261,536.8671428571417,690.4007142857133,109329.12,109329.12
68,1,32335,32344,113022.62,110880.76,,,-2365.763380000001,223.90338,-0.020931769056495114,2025-09-09 07:00:00,2025-09-09 16:00:00,0 days 09:00:00,,112164.31225656663,112048.62095053987,111287.48211879071,111342.40592878537,112760.18037681418,112748.56280074433,464.78499999999934,568.3085714285698,110034.44,110463.1
69,1,32846,32865,113404.53,116111.27,,,2477.224200000005,229.5158,0.021844137972266323,2025-09-30 14:00:00,2025-10-01 09:00:00,0 days 19:00:00,,113484.09616911544,114664.59236287218,112448.95724515671,112670.5798826681,113145.28402515237,113198.69054019754,425.7964285714271,564.9314285714291,109189.99,110833.99
70,1,33535,33545,113284.21,111106.35,,,-2402.2505600000004,224.39056000000002,-0.02120551981604503,2025-10-29 07:00:00,2025-10-29 17:00:00,0 days 10:00:00,,113310.79928887938,112551.85366650073,112150.6835138022,112172.81505188477,113080.835639111,113066.51195932276,657.0149999999994,582.4014285714293,112100.0,110960.0
71,1,35121,35137,89670.51,91341.48,,,1489.9580100000012,181.01199,0.016615919882690455,2026-01-03 09:00:00,2026-01-04 01:00:00,0 days 16:00:00,,89882.90376568014,90478.50422045967,88410.77411564642,88603.43639780351,89665.5799815089,89690.73769632878,346.2771428571442,309.55142857143284,87550.43,87810.66
72,1,35248,35337,90781.57,90752.28,,,-210.82385000000815,181.53385,-0.002322319937846486,2026-01-08 16:00:00,2026-01-12 09:00:00,3 days 17:00:00,,90554.11373563032,91280.74329538843,90435.4041272181,90632.22562884647,90291.12442069661,90405.2484449322,634.432142857143,573.5257142857154,89311.0,90236.0
