,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(100),Exit_calculate…(100),Entry_calculate…(400),Exit_calculate…(400),Entry_calculate…(14),Exit_calculate…(14),Entry_λ,Exit_λ,Entry_calculate…(20),Exit_calculate…(20)
41,-1,3132,3134,31843.87,29329.3,,,2453.3968299999997,61.17317,0.07704455614220251,2022-05-11 11:00:00,2022-05-11 13:00:00,0 days 02:00:00,,32901.25425297111,32798.867782900685,36489.824007797346,36428.06503184274,676.7421428571431,970.5557142857142,109.42033168954967,-6.580495658341903,5209.289940000001,7598.00459135
42,-1,3172,3207,30140.98,28835.23,,,1246.77379,58.976209999999995,0.04136473963354875,2022-05-13 03:00:00,2022-05-14 14:00:00,1 days 11:00:00,,30777.290535096952,30264.404661794924,35145.787963400224,34292.94862700321,786.0828571428572,311.19214285714327,258.55334071786626,-73.1739544048578,6185.4027264999995,2007.996138
43,-1,3212,3216,29526.57,30239.33,,,-772.525900000002,59.7659,-0.026163753527754848,2022-05-14 19:00:00,2022-05-14 23:00:00,0 days 04:00:00,,30175.900192971254,30151.497602368854,34170.43293381741,34084.9528340975,385.0228571428579,467.9264285714294,34.98355340958312,121.55764695529868,2183.2487425,2183.0746520000002
44,-1,3217,3229,30086.74,30241.46,,,-215.04819999999754,60.3282,-0.007147607218329402,2022-05-15 00:00:00,2022-05-15 12:00:00,0 days 12:00:00,,30147.77566964868,30092.24240323267,34064.39715911447,33820.8061432133,467.97500000000065,335.3057142857145,117.07650813407437,50.57434078187637,2180.4146815,1807.7103525000002
45,-1,3325,3329,29499.81,30389.45,,,-949.5292599999995,59.88926000000001,-0.03218763985259553,2022-05-19 12:00:00,2022-05-19 16:00:00,0 days 04:00:00,,29745.24438365784,29763.902739021374,32307.30112691967,32261.28458111791,326.6478571428569,338.15999999999957,82.4668957061865,158.59489605702723,2316.4323695,2893.3107775
46,-1,3377,3390,29552.47,29286.09,,,207.54144000000102,58.83856,0.0070228119680013305,2022-05-21 16:00:00,2022-05-22 05:00:00,0 days 13:00:00,,29659.898972518495,29603.303755872577,31708.00806297191,31563.65744808149,170.91928571428565,133.68928571428555,53.05128497048288,-2.906942415076939,950.6773860000001,826.6924175
47,-1,3449,3453,29382.32,29391.62,,,-68.07393999999927,58.773939999999996,-0.002316833388241502,2022-05-24 16:00:00,2022-05-24 20:00:00,0 days 04:00:00,,29665.887603041378,29641.16984421327,31106.338693092493,31071.428145984926,253.83642857142902,298.2864285714287,28.083162959325875,48.50812568907608,2602.2808515,2571.1704325
48,-1,3455,3460,29586.76,30114.78,,,-587.7215400000005,59.701539999999994,-0.01986434269923439,2022-05-24 22:00:00,2022-05-25 03:00:00,0 days 05:00:00,,29639.409403306952,29662.57093702351,31056.749385569405,31027.647073408552,296.1964285714283,301.9957142857134,68.52536223044146,112.44001930389965,2587.7095575000003,2803.2253690000002
49,-1,3543,3559,29071.81,29043.1,,,-29.404909999997237,58.11491,-0.0010114578349265774,2022-05-28 14:00:00,2022-05-29 06:00:00,0 days 16:00:00,,29192.571358415218,29135.14579269547,30406.708461438055,30297.182801703864,181.88785714285692,109.75428571428581,40.15816983474319,3.752363235837187,1909.8120264999998,1016.9872725000001
50,-1,3562,3565,29063.29,29213.85,,,-208.83713999999767,58.27714,-0.007185598739853576,2022-05-29 09:00:00,2022-05-29 12:00:00,0 days 03:00:00,,29128.473856209617,29135.71032382414,30278.178012432316,30262.894598400508,100.07999999999993,131.23428571428562,2.3308362600957793,32.70245303672749,899.0917175000001,1040.3183375
51,2,3630,3641,31566.6,30742.59,,,-1772.6383799999967,124.61838,-0.02807775275132575,2022-06-01 05:00:00,2022-06-01 16:00:00,0 days 11:00:00,,30647.924211468402,30791.948694353054,30466.20727321185,30515.703315652452,264.5371428571434,296.36785714285753,-69.46826467295736,-139.97339372164794,2607.4215505,3101.313012
52,-1,3665,3675,30212.73,30628.39,,,-476.50111999999984,60.841120000000004,-0.015771534714009546,2022-06-02 16:00:00,2022-06-03 02:00:00,0 days 10:00:00,,30470.873043159594,30454.96339713897,30450.66639519541,30447.08261289298,246.01999999999992,274.7778571428574,99.5840610244758,79.05916133844333,2586.426894,2517.7745219999997
53,-1,3712,3718,29777.31,29749.77,,,-31.987079999999132,59.527080000000005,-0.0010742098597892155,2022-06-04 15:00:00,2022-06-04 21:00:00,0 days 06:00:00,,30096.19930573858,30056.841769960127,30336.91360181955,30319.495237476534,142.60285714285757,151.82785714285743,33.6532551445615,25.324305011565606,1131.417429,1059.7858095
54,-1,3722,3739,29740.64,30022.0,,,-341.1226400000006,59.762640000000005,-0.011469915913040144,2022-06-05 01:00:00,2022-06-05 18:00:00,0 days 17:00:00,,30035.166042371515,29962.053990427554,30308.729566714515,30265.34079076188,157.37571428571468,164.55857142857167,11.845901490990506,36.034756630838025,992.8357259999999,909.0889734999998
55,-1,3742,3746,29945.85,30301.69,,,-416.08754000000016,60.24754,-0.013894664536154452,2022-06-05 21:00:00,2022-06-06 01:00:00,0 days 04:00:00,,29963.472724337706,29987.737074106437,30261.194382891572,30261.441886266563,177.26857142857156,246.06142857142913,27.694928045584575,77.742381475466,916.6306505,1360.559087
56,-2,3980,4008,21540.07,20364.98,,,2266.3699,83.8101,0.052608229685418825,2022-06-15 19:00:00,2022-06-16 23:00:00,1 days 04:00:00,,23840.70413648046,22795.238699550864,27690.38252696328,26878.833771564623,777.1164285714284,396.36357142857145,124.96409468908416,-81.57940974624387,9101.16946035,4213.6209105
57,-2,4018,4032,21069.39,20451.19,,,1153.3588400000015,83.04115999999999,0.02737048485978951,2022-06-17 09:00:00,2022-06-17 23:00:00,0 days 14:00:00,,22428.22292170371,21990.824077752713,26580.51931285622,26179.30828164485,392.6478571428576,251.46857142857127,84.77589297082179,-4.701895913273205,4058.249974,3463.5260275
58,-2,4069,4073,19692.49,19824.96,,,-343.97489999999505,79.03490000000001,-0.00873365684075496,2022-06-19 12:00:00,2022-06-19 16:00:00,0 days 04:00:00,,20438.362241472678,20366.549225173665,24980.826637678605,24872.334945679973,526.6135714285717,549.7864285714287,198.1769817608947,158.24026159283824,8344.2257908,6191.634623
