,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(15),Exit_calculate…(15),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(800),Exit_calculate…(800),Entry_calculate…(14),Exit_calculate…(14)
47,2,22480,22533,64790.89,67791.21,,,5735.475800000014,265.16420000000005,0.0442614370631428,2024-07-25 16:00:00,2024-07-27 21:00:00,2 days 05:00:00,,64596.853812552705,68383.53055142553,64554.65437701402,65441.48450010254,63294.10505928428,63813.00884968394,476.1742857142864,630.8035714285714
48,2,22623,22628,66440.01,65256.83,,,-2629.753679999986,263.39368,-0.019790437117634303,2024-07-31 15:00:00,2024-07-31 20:00:00,0 days 05:00:00,,66270.17161584564,66016.26628013665,66245.23805992423,66233.23448491399,64517.72356937189,64534.68633672617,398.3192857142858,537.0392857142875
49,2,23138,23206,60970.0,63612.36,,,5035.555280000001,249.16472,0.041295352468427186,2024-08-22 02:00:00,2024-08-24 22:00:00,2 days 20:00:00,,60527.12227653247,63979.065622296024,59660.09311264327,60659.57974083099,60837.258564908785,61063.69597046565,694.6535714285716,340.8635714285717
50,2,23770,23794,58966.47,59654.76,,,1139.3375400000018,237.24246,0.009660893216093824,2024-09-17 10:00:00,2024-09-18 10:00:00,1 days 00:00:00,,58518.48065331974,60121.241741397826,58172.00513002397,58471.835859260354,58844.55835035498,58923.351837631424,352.46928571428464,353.091428571429
51,2,24359,24447,62450.27,65376.01,,,5595.82744000001,255.65256,0.04480226778843399,2024-10-11 23:00:00,2024-10-15 15:00:00,3 days 16:00:00,,62204.30075154842,65832.92438739794,62119.470361267144,63010.299179482354,61751.11649868432,62195.031893481944,411.19857142857137,710.1107142857155
52,2,24953,24996,70191.98,74745.99,,,8818.144060000019,289.87594,0.06281447011467695,2024-11-05 17:00:00,2024-11-07 12:00:00,1 days 19:00:00,,69159.34943664509,74912.72289618854,68923.59636064294,70164.92207041095,66965.63484202884,67664.84699051119,503.85714285714283,399.9592857142852
53,1,25474,25498,93403.49,94976.0,,,1384.1305099999947,188.37949,0.014818830752469784,2024-11-27 10:00:00,2024-11-28 10:00:00,1 days 00:00:00,,93025.6422535573,95392.85269654074,92903.41019028948,93290.13494334082,84427.28714692108,85072.86782213445,632.5714285714296,601.2078571428574
54,1,25812,25818,98292.61,99781.89,,,1291.205499999999,198.0745,0.013136343617287261,2024-12-11 12:00:00,2024-12-11 18:00:00,0 days 06:00:00,,97584.47053333366,98909.61367842167,97453.11660450869,97549.00751892994,92011.95392834919,92129.32383981596,669.7878571428561,757.740714285715
55,1,26157,26168,99144.62,97719.99,,,-1621.4946099999902,196.86461000000003,-0.016354842148772118,2024-12-25 21:00:00,2024-12-26 08:00:00,0 days 11:00:00,,98499.64003956543,98166.55827749881,98487.42438402021,98480.5496840441,96356.017172635,96411.46451978586,656.1742857142838,785.2492857142851
56,1,26630,26679,96336.0,97618.88,,,1088.9251200000047,193.95488,0.011303408071749009,2025-01-14 14:00:00,2025-01-16 15:00:00,2 days 01:00:00,,95542.5749641074,99111.53194038893,95412.90876805045,96226.82654764011,95823.45256160642,96105.44607411258,731.3114285714307,756.884285714285
