fast_ema,slow_ema,rsi_entry_max,rsi_entry_min,atr_sl_mult,be_trigger_atr,swing_lookback,0
15,400,70,50,2.5,3.0,40,0.0
15,400,70,50,3.5,2.0,60,0.0
15,400,75,30,2.0,1.5,50,0.0
15,400,75,35,3.0,2.5,40,0.0
15,400,75,45,2.0,2.5,60,0.0
15,400,75,45,3.0,2.0,50,0.0
15,400,75,50,2.5,2.0,60,0.0
15,400,75,50,3.5,2.0,40,0.0
15,400,80,30,2.0,3.0,50,0.0
15,400,80,30,3.0,1.5,80,0.0
15,400,80,30,3.5,1.5,40,0.0
15,400,80,35,2.0,1.5,60,0.0
15,400,80,40,2.0,2.5,40,0.0
15,400,80,40,3.0,1.5,80,0.0
15,400,80,45,3.5,2.5,50,0.0
15,400,80,50,2.0,2.0,80,0.0
15,400,80,50,3.0,1.5,50,0.0
15,400,80,50,3.5,3.0,80,952.3124554947099
20,200,60,30,3.5,3.0,80,0.0
20,200,60,30,4.0,2.0,50,0.0
20,200,65,30,2.0,2.5,50,0.0
20,200,65,30,2.5,2.0,60,0.0
20,200,65,30,2.5,2.5,50,0.0
20,200,65,40,4.0,2.0,40,0.0
20,200,65,45,2.0,3.0,60,0.0
20,200,65,45,2.5,3.0,60,0.0
20,200,65,45,3.5,1.5,80,0.0
20,200,70,30,2.0,2.5,80,0.0
20,200,70,30,3.5,1.5,60,0.0
20,200,70,45,2.0,2.0,40,0.0
20,200,70,45,4.0,2.0,50,0.0
20,200,70,50,4.0,1.5,80,0.0
20,200,75,30,2.0,1.5,60,0.0
20,200,75,30,3.0,3.0,60,0.0
20,200,75,35,2.0,3.0,50,0.0
20,200,75,40,3.0,1.5,80,0.0
20,200,75,40,3.0,2.5,60,0.0
20,200,75,40,3.5,2.0,40,0.0
20,200,75,40,4.0,2.0,80,0.0
20,200,75,45,3.0,1.5,40,0.0
20,200,75,45,3.0,2.5,40,0.0
20,200,80,30,4.0,2.5,40,0.0
20,200,80,35,2.5,1.5,60,0.0
20,200,80,45,2.0,1.5,50,0.0
20,200,80,45,3.0,1.5,80,0.0
20,200,80,45,3.5,1.5,50,0.0
20,200,80,45,4.0,2.0,80,0.0
20,250,60,40,2.5,1.5,50,0.0
20,250,60,40,2.5,2.5,60,0.0
20,250,65,30,2.5,1.5,50,0.0
20,250,65,35,2.5,2.0,50,0.0
20,250,65,35,3.5,1.5,40,0.0
