,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(20),Exit_calculate…(20),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(14),Exit_calculate…(14),Entry_calculate…(4800),Exit_calculate…(4800)
40,4,15678,16366,27916.43,36480.01,,,33996.734240000005,257.58576,0.3044509473453447,2023-10-16 06:00:00,2023-11-13 22:00:00,28 days 16:00:00,,27222.579016020667,36811.390110649045,27157.49883422929,35782.88099796375,171.0950000000004,217.43285714285645,27005.93252579497,28690.276119193495
41,3,17085,17103,42874.88,42655.3,,,-915.3305399999834,256.59054000000003,-0.007116292337144581,2023-12-13 21:00:00,2023-12-14 15:00:00,0 days 18:00:00,,41851.598917867705,42649.77462813754,41664.17224358446,41795.75103612935,334.6250000000005,370.053571428573,31456.03226643646,31541.007971106897
42,3,17210,17228,43314.99,42341.96,,,-3176.0608499999967,256.97085000000004,-0.02444158361805003,2023-12-19 02:00:00,2023-12-19 20:00:00,0 days 18:00:00,,42088.932857311185,42468.80845147555,41928.91423146397,42015.973861489714,415.9164285714292,333.33500000000015,32002.395224655735,32082.39532324261
43,3,17422,17440,43366.2,42445.99,,,-3018.0665699999972,257.43657,-0.023198301672731302,2023-12-27 22:00:00,2023-12-28 16:00:00,0 days 18:00:00,,42986.077446855095,42917.09098259198,42912.668803852706,42928.17386686917,305.08928571428623,258.99857142857115,32956.432884648326,33031.924630087786
44,3,17540,17580,43517.98,43702.89,,,293.0673899999887,261.66261,0.0022447992760691515,2024-01-01 20:00:00,2024-01-03 12:00:00,1 days 16:00:00,,42826.3298765374,44787.35474443788,42686.49458900211,43233.56156181727,201.54857142857196,547.6914285714291,33414.610185995705,33606.53950331113
45,3,18145,18188,41785.94,41785.91,,,-250.80554999999651,250.71555,-0.002000717226894961,2024-01-27 01:00:00,2024-01-28 20:00:00,1 days 19:00:00,,41416.37536981914,42178.30291956855,41371.91313664449,41546.51116824785,307.3099999999998,240.63071428571388,35524.5363604676,35640.52049962399
46,2,19540,19603,67350.0,68475.6,,,1979.5488000000116,271.6512,0.01469598218262809,2024-03-25 04:00:00,2024-03-27 19:00:00,2 days 15:00:00,,66215.81573142776,69576.49390198584,66073.38737706689,67333.94849626742,608.346428571429,790.5528571428586,45298.47224553034,45930.854749606544
47,2,19843,19911,68307.28,69358.32,,,1826.7488000000162,275.3312,0.013371552783246591,2024-04-06 19:00:00,2024-04-09 15:00:00,2 days 20:00:00,,67952.2698573075,70577.81724393152,67886.27357815471,68784.90977686395,284.90500000000196,688.2499999999969,48078.80359169793,48698.608030746334
48,2,20215,20237,66300.01,66244.02,,,-377.0680599999814,265.08806000000004,-0.002843650098996782,2024-04-22 07:00:00,2024-04-23 05:00:00,0 days 22:00:00,,65298.48421530956,66358.75231830306,65214.27014746381,65372.4489563998,513.5985714285723,428.29714285714,50695.78974763847,50838.756679699254
49,2,20505,20523,63160.95,63141.7,,,-291.1053,252.6053,-0.002304472146159978,2024-05-04 09:00:00,2024-05-05 03:00:00,0 days 18:00:00,,62397.54504929785,63398.44723182301,62242.33164343759,62407.0180996315,488.6207142857139,443.5700000000002,52071.413395925556,52158.34383834653
50,2,20650,20655,63126.97,61063.87,,,-4374.5816799999975,248.38168000000002,-0.03464907059534142,2024-05-10 10:00:00,2024-05-10 15:00:00,0 days 05:00:00,,62714.99035159858,62483.03402896326,62666.339081194295,62652.74766279822,372.69285714285695,509.2142857142852,52717.68362063848,52737.54302494398
51,2,20728,20746,63002.0,61797.84,,,-2657.919680000007,249.59968,-0.021093930986317955,2024-05-13 16:00:00,2024-05-14 10:00:00,0 days 18:00:00,,62254.10214915951,62317.19761100898,62146.99173774123,62189.728438293074,524.804285714287,367.4200000000014,52993.196771854,53064.51284101705
52,2,20773,20876,63757.57,66034.01,,,4293.29683999999,259.58316,0.033668918373143605,2024-05-15 13:00:00,2024-05-19 20:00:00,4 days 07:00:00,,62410.00984407107,66785.07702601948,62160.78698643268,64307.501474593395,540.7235714285728,389.7007142857131,53164.36521631643,53719.89801519466
53,2,21207,21330,68252.51,69803.59,,,2826.0478000000035,276.11220000000003,0.020702885505602616,2024-06-02 15:00:00,2024-06-07 18:00:00,5 days 03:00:00,,67891.01703537145,70863.49274066817,67856.01370285855,69256.91126939049,275.914285714288,544.355714285714,55629.86352177716,56355.725417429676
